Function,Mean,Std,Best,Median,Worst,TimeTotal_s,TimeMean_s,MaxFEs,PopSize,Runs,Dim
F1,300.000005529383,1.58913317078359e-05,300.000000001542,300.000000120641,300.000075853864,17.577310,0.585910,100000,50,30,10
F2,406.446897987524,2.35343511171745,404.091926980502,404.685419333682,408.916101927781,15.600599,0.520020,100000,50,30,10
F3,600,1.50763522368092e-13,600,600,600,19.704639,0.656821,100000,50,30,10
F4,832.243595580399,5.46893726210231,821.333649615598,832.776962266891,842.06057878034,16.297548,0.543252,100000,50,30,10
F5,900,0,900,900,900,19.272145,0.642405,100000,50,30,10
F6,8174.6386450512,4554.45012352428,3546.86623253373,7470.31835401893,22940.452424322,16.840383,0.561346,100000,50,30,10
F7,2025.28543631361,3.56054144083567,2021.05564884978,2024.88505423419,2034.2288686142,26.276094,0.875870,100000,50,30,10
F8,2223.67560696681,4.27115224336624,2214.07020191721,2225.15401406074,2229.19590888688,29.668394,0.988946,100000,50,30,10
F9,2529.28438270849,0,2529.28438270849,2529.28438270849,2529.28438270849,26.021313,0.867377,100000,50,30,10
F10,2572.0099913773,156.504828674119,2500.20625482186,2500.33643008852,3290.37197780878,24.394154,0.813138,100000,50,30,10
F11,2712.83658491649,177.611396161729,2600,2600,3183.65390294199,27.244846,0.908162,100000,50,30,10
F12,2861.62542376976,1.37653583699626,2858.61837305387,2861.40488075875,2864.02907491297,29.779609,0.992654,100000,50,30,10
